category,product_name,description,variant_name,size_key,price_bs,product_kind,goes_to_kitchen,recipe_status,notes
Pizzas con maña,DULCE FUEGO,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI, JALAPEÑO ENCURTIDO, CORAZON DE ALCACHOFA, PARMESANO Y MIEL",Mediana,mediana,76,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,DULCE FUEGO,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI, JALAPEÑO ENCURTIDO, CORAZON DE ALCACHOFA, PARMESANO Y MIEL",Familiar,familiar,87,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PACHAMAMA,"SALSA DE TOMATE, MOZZARELLA, BERENJENA SALTEADA, PIMIENTOS ASADOS, CEBOLLA MORADA, ALBACA FRESCA, PARMESANO Y QUESO DE CABRA TIPO CAMEMBERT",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PACHAMAMA,"SALSA DE TOMATE, MOZZARELLA, BERENJENA SALTEADA, PIMIENTOS ASADOS, CEBOLLA MORADA, ALBACA FRESCA, PARMESANO Y QUESO DE CABRA TIPO CAMEMBERT",Mediana,mediana,70,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PACHAMAMA,"SALSA DE TOMATE, MOZZARELLA, BERENJENA SALTEADA, PIMIENTOS ASADOS, CEBOLLA MORADA, ALBACA FRESCA, PARMESANO Y QUESO DE CABRA TIPO CAMEMBERT",Familiar,familiar,82,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MONTUNA,"SALSA BLANCA, MOZZARELLA, CHAMPIÑONES FRESCOS, CEBOLLA ENCURTIDA, POLLO, TOCINO, CHOCLITOS Y PIMIENTOS ASADOS",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MONTUNA,"SALSA BLANCA, MOZZARELLA, CHAMPIÑONES FRESCOS, CEBOLLA ENCURTIDA, POLLO, TOCINO, CHOCLITOS Y PIMIENTOS ASADOS",Mediana,mediana,76,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MONTUNA,"SALSA BLANCA, MOZZARELLA, CHAMPIÑONES FRESCOS, CEBOLLA ENCURTIDA, POLLO, TOCINO, CHOCLITOS Y PIMIENTOS ASADOS",Familiar,familiar,87,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA ASTUTA,"SALSA DE TOMATE, MOZZARELLA, SALAME, CHAMPIÑONES FRESCOS, ACEITUNA NEGRA Y CORAZON DE ALCACHOFA",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA ASTUTA,"SALSA DE TOMATE, MOZZARELLA, SALAME, CHAMPIÑONES FRESCOS, ACEITUNA NEGRA Y CORAZON DE ALCACHOFA",Mediana,mediana,76,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA ASTUTA,"SALSA DE TOMATE, MOZZARELLA, SALAME, CHAMPIÑONES FRESCOS, ACEITUNA NEGRA Y CORAZON DE ALCACHOFA",Familiar,familiar,87,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MAÑOSA CUATRO QUESOS,"SALSA DE TOMATE(SALSA BLANCA)MOZZARELLA, QUESO AZUL, PARMESANO, QUESO PROVOLONE, PISTACHO Y MIEL",Personal,personal,45,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MAÑOSA CUATRO QUESOS,"SALSA DE TOMATE(SALSA BLANCA)MOZZARELLA, QUESO AZUL, PARMESANO, QUESO PROVOLONE, PISTACHO Y MIEL",Mediana,mediana,78,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,MAÑOSA CUATRO QUESOS,"SALSA DE TOMATE(SALSA BLANCA)MOZZARELLA, QUESO AZUL, PARMESANO, QUESO PROVOLONE, PISTACHO Y MIEL",Familiar,familiar,89,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,CACHETONA FINA,"SALSA DE TOMATE,MOZZARELLA, CALABRESA, GUANCIALE(CACHETE DE CERDO CURADO INGREDIENTE DE CARBONARA)ACEITUNA VERDE Y PIMIENTO ASADO",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,CACHETONA FINA,"SALSA DE TOMATE,MOZZARELLA, CALABRESA, GUANCIALE(CACHETE DE CERDO CURADO INGREDIENTE DE CARBONARA)ACEITUNA VERDE Y PIMIENTO ASADO",Mediana,mediana,76,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,CACHETONA FINA,"SALSA DE TOMATE,MOZZARELLA, CALABRESA, GUANCIALE(CACHETE DE CERDO CURADO INGREDIENTE DE CARBONARA)ACEITUNA VERDE Y PIMIENTO ASADO",Familiar,familiar,87,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,TRADICION,"SALSA DE TOMATE, MOZZARELLA, ALBACA Y ACEITE DE OLIVA EXTRA VIRGEN",Personal,personal,30,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,TRADICION,"SALSA DE TOMATE, MOZZARELLA, ALBACA Y ACEITE DE OLIVA EXTRA VIRGEN",Mediana,mediana,60,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,TRADICION,"SALSA DE TOMATE, MOZZARELLA, ALBACA Y ACEITE DE OLIVA EXTRA VIRGEN",Familiar,familiar,75,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA ATREVIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON Y PIÑA CARAMELIZADA",Personal,personal,35,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA ATREVIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON Y PIÑA CARAMELIZADA",Mediana,mediana,68,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA ATREVIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON Y PIÑA CARAMELIZADA",Familiar,familiar,82,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA MAÑUDA,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI Y PARMESANO",Personal,personal,35,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA MAÑUDA,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI Y PARMESANO",Mediana,mediana,68,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA MAÑUDA,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI Y PARMESANO",Familiar,familiar,82,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,ENGREIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON, CHAMPIÑONES FRESCOS Y ACEITUNA VERDE",Personal,personal,35,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,ENGREIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON, CHAMPIÑONES FRESCOS Y ACEITUNA VERDE",Mediana,mediana,68,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,ENGREIDA,"SALSA DE TOMATE, MOZZARELLA, JAMON, CHAMPIÑONES FRESCOS Y ACEITUNA VERDE",Familiar,familiar,82,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,QUESUDA,"SALSA DE TOMATE, MOZZARELLA, QUESO PROVOLONE, QUESO AZUL Y QUESO PARMESANO",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,QUESUDA,"SALSA DE TOMATE, MOZZARELLA, QUESO PROVOLONE, QUESO AZUL Y QUESO PARMESANO",Mediana,mediana,79,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,QUESUDA,"SALSA DE TOMATE, MOZZARELLA, QUESO PROVOLONE, QUESO AZUL Y QUESO PARMESANO",Familiar,familiar,88,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,PANCITA,"SALSA DE TOMATE, MOZZARELLA, TOCINO Y CEBOLLA",Personal,personal,35,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,PANCITA,"SALSA DE TOMATE, MOZZARELLA, TOCINO Y CEBOLLA",Mediana,mediana,68,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,PANCITA,"SALSA DE TOMATE, MOZZARELLA, TOCINO Y CEBOLLA",Familiar,familiar,82,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA,"SALSA DE TOMATE, MOZZARELLA Y JAMON",Personal,personal,30,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA,"SALSA DE TOMATE, MOZZARELLA Y JAMON",Mediana,mediana,67,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA,"SALSA DE TOMATE, MOZZARELLA Y JAMON",Familiar,familiar,78,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA PRO MAX,"SALSA DE TOMATE, MOZZARELLA, JAMON Y CHOCLITOS",Personal,personal,33,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA PRO MAX,"SALSA DE TOMATE, MOZZARELLA, JAMON Y CHOCLITOS",Mediana,mediana,71,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Las de siempre - con maña,LA CASERITA PRO MAX,"SALSA DE TOMATE, MOZZARELLA, JAMON Y CHOCLITOS",Familiar,familiar,81,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Gaseosas,COCA-COLA NORMAL O SIN AZUCAR 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,GUARANA ANTARTICA 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,FANTA NARANJA 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,FANTA MANDARINA 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,FANTA PAPAYA 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,FANTA GUARANA 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,SPRITE NORMAL O SIN AZUCAR 500 ML,,Única,unit,10,direct_sale,no,not_required,
Gaseosas,AGUA 600 ML,,Única,unit,8,direct_sale,no,not_required,
Gaseosas,PEPSI LITRO,,Única,unit,12,direct_sale,no,not_required,
Gaseosas,GASEOSA NORMAL O SIN AZUCAR 2 LTS,,Única,unit,20,direct_sale,no,not_required,
Jugos naturales,REFRESCO NATURAL HERVIDO 1Lts. LUNEAS A VIERNES,,Única,unit,13,review,review,review,Jugos naturales: la carta no indica si se preparan en cocina ni receta/cantidades; revisar antes de marcar como venta directa.
Jugos naturales,JUGOS NATURALES CON FRUTA DE TEMPORADA(CONSULTAR OPCIONES DISPONIBLES) 1Lts. FINES DE SEMANA,,Única,unit,20,review,review,review,Jugos naturales: la carta no indica si se preparan en cocina ni receta/cantidades; revisar antes de marcar como venta directa.
Bebidas alcohólicas,VINO TINTO TERRUÑO,,Única,unit,40,direct_sale,no,not_required,
Bebidas alcohólicas,VINO SANTA ANA ROSADO SEMI DULCE,,Única,unit,55,direct_sale,no,not_required,
Bebidas alcohólicas,BURBUSH VINO ESPUMOSO PERSONAL,,Única,unit,25,direct_sale,no,not_required,
Bebidas alcohólicas,VINO DE ESPECIALIDAD(CONSULTAR LA ELECCION DE TEMPORADA),,Sin precio,unit,,direct_sale,no,not_required,La carta no trae precio. No inventar. Crear solo si el sistema permite producto sin variante/precio o dejar pendiente.
